asset_ip,candidate_name,root_domain,source_kinds,evidence_count,source_port_count,label
10.10.17.167,auth.lab.local,lab.local,http_location;technology;tls_san,2,1,high_value
10.10.23.59,login.lab.local,lab.local,http_location;tls_san,2,1,high_value
10.10.60.251,ci.academy.htb,academy.htb,banner;http_url;technology,3,1,supporting
10.10.14.81,portal.corp.internal,corp.internal,technology,3,2,high_value
10.10.82.207,mail.corp.internal,corp.internal,technology,1,1,supporting
10.10.23.202,ci.academy.htb,academy.htb,banner;technology,3,1,supporting
10.10.14.10,grafana.lab.local,lab.local,http_url,2,2,supporting
10.10.66.118,cipher,cipher,technology,1,1,noise
10.10.57.249,vpn.lab.local,lab.local,http_location;technology;tls_san,2,1,high_value
10.10.10.91,adfs.academy.htb,academy.htb,technology;tls_san,2,1,high_value
10.10.96.48,admin-gateway.lab.local,lab.local,http_location;technology;tls_san,1,1,high_value
10.10.68.232,admin-gateway.corp.internal,corp.internal,http_location;technology;tls_san,3,1,high_value
10.10.98.57,portal.lab.local,lab.local,http_location;technology,2,1,high_value
10.10.80.125,dc01.academy.htb,academy.htb,http_location;technology;tls_san,1,2,high_value
10.10.64.162,cipher,cipher,technology,1,2,noise
10.10.68.38,dc01.corp.internal,corp.internal,http_location,3,2,high_value
10.10.39.225,git.lab.local,lab.local,banner;http_url;technology,2,2,supporting
10.10.83.68,ci.corp.internal,corp.internal,http_url,1,1,supporting
10.10.66.92,grafana.corp.internal,corp.internal,http_url;technology,3,2,supporting
10.10.10.63,localhost,localhost,banner,1,1,noise
10.10.92.76,docs.dev.lab.local,lab.local,banner,2,1,supporting
10.10.67.83,apache,apache,banner;technology,2,1,noise
10.10.87.3,sso.dev.lab.local,lab.local,http_location;technology;tls_san,2,1,high_value
10.10.10.217,git.corp.internal,corp.internal,http_url,1,2,supporting
10.10.91.62,docs.lab.local,lab.local,banner;http_url;technology,3,1,supporting
10.10.61.239,auth.dev.lab.local,lab.local,http_location;technology;tls_san,2,1,high_value
10.10.24.219,portal.corp.internal,corp.internal,http_location;tls_san,2,1,high_value
10.10.21.52,wiki.corp.internal,corp.internal,banner;http_url;technology,1,1,supporting
10.10.84.111,login.corp.internal,corp.internal,http_location;technology;tls_san,3,2,high_value
10.10.18.145,ci.lab.local,lab.local,banner;http_url;technology,1,1,supporting
10.10.40.69,wiki.academy.htb,academy.htb,banner;http_url,2,2,supporting
10.10.49.207,apache,apache,technology,2,2,noise
10.10.96.167,admin-gateway.corp.internal,corp.internal,technology,1,2,high_value
10.10.62.234,wiki.lab.local,lab.local,banner;http_url;technology,1,2,supporting
10.10.62.9,dc01.corp.internal,corp.internal,http_location;technology;tls_san,3,1,high_value
10.10.47.108,default,default,banner;technology,2,2,noise
10.10.41.13,adfs.corp.internal,corp.internal,http_location;technology;tls_san,3,1,high_value
10.10.15.226,ci.corp.internal,corp.internal,technology,3,2,supporting
10.10.12.155,nginx,nginx,banner;technology,1,1,noise
10.10.60.44,git.academy.htb,academy.htb,technology,3,2,supporting
10.10.35.126,grafana.corp.internal,corp.internal,banner;technology,2,1,supporting
10.10.30.78,ci.lab.local,lab.local,banner,2,2,supporting
10.10.51.18,vpn.academy.htb,academy.htb,http_location,3,1,high_value
10.10.12.124,default,default,banner;technology,1,2,noise
10.10.71.8,nginx,nginx,banner;technology,1,2,noise
10.10.10.39,vpn.lab.local,lab.local,technology;tls_san,2,2,high_value
10.10.98.92,nginx,nginx,banner;technology,1,1,noise
10.10.37.231,admin-gateway.academy.htb,academy.htb,http_location;technology,1,2,high_value
10.10.12.223,admin-gateway.lab.local,lab.local,http_location;tls_san,2,2,high_value
10.10.34.70,server,server,banner;technology,2,2,noise
10.10.19.71,grafana.corp.internal,corp.internal,banner;technology,1,1,supporting
10.10.22.58,nginx,nginx,technology,2,2,noise
10.10.49.66,default,default,banner;technology,1,1,noise
10.10.55.237,server,server,banner,2,1,noise
10.10.32.9,default,default,banner,1,1,noise
10.10.61.157,web02.academy.htb,academy.htb,banner;http_url;technology,3,1,supporting
10.10.82.212,wiki.corp.internal,corp.internal,http_url,1,2,supporting
10.10.89.113,default,default,technology,2,2,noise
10.10.98.2,issuer,issuer,banner,2,1,noise
10.10.34.3,issuer,issuer,banner;technology,2,2,noise
10.10.87.238,localhost,localhost,banner,1,1,noise
10.10.43.6,api.corp.internal,corp.internal,banner;http_url;technology,3,1,supporting
10.10.87.74,wiki.academy.htb,academy.htb,banner,2,1,supporting
10.10.48.34,portal.lab.local,lab.local,http_location,2,1,high_value
10.10.58.25,server,server,banner,1,1,noise
10.10.21.96,apache,apache,technology,1,1,noise
10.10.72.197,mail.dev.lab.local,lab.local,banner;http_url;technology,3,1,supporting
10.10.21.245,git.academy.htb,academy.htb,banner;http_url;technology,1,1,supporting
10.10.19.206,web02.lab.local,lab.local,banner;http_url;technology,2,1,supporting
10.10.97.160,issuer,issuer,technology,1,2,noise
10.10.94.137,server,server,banner,1,2,noise
10.10.35.140,server,server,banner;technology,2,2,noise
10.10.12.41,mail.lab.local,lab.local,banner;http_url,1,1,supporting
10.10.15.57,wiki.academy.htb,academy.htb,http_url,2,1,supporting
10.10.94.136,vpn.dev.lab.local,lab.local,http_location;technology,1,1,high_value
10.10.97.86,git.academy.htb,academy.htb,http_url;technology,1,1,supporting
10.10.17.44,issuer,issuer,technology,1,2,noise
10.10.99.10,api.dev.lab.local,lab.local,banner;technology,2,1,supporting
10.10.92.208,portal.academy.htb,academy.htb,technology,3,1,high_value
10.10.37.76,portal.dev.lab.local,lab.local,technology,1,2,high_value
10.10.47.83,adfs.dev.lab.local,lab.local,technology,1,1,high_value
10.10.15.164,dc01.dev.lab.local,lab.local,http_location;technology,3,1,high_value
10.10.76.89,wiki.academy.htb,academy.htb,banner;technology,3,2,supporting
10.10.38.50,api.dev.lab.local,lab.local,banner;technology,1,2,supporting
10.10.93.95,localhost,localhost,banner;technology,2,1,noise
10.10.66.224,docs.lab.local,lab.local,http_url,2,1,supporting
10.10.70.152,default,default,technology,1,1,noise
10.10.61.40,login.academy.htb,academy.htb,http_location;technology,3,2,high_value
10.10.23.132,apache,apache,technology,1,2,noise
10.10.77.228,api.dev.lab.local,lab.local,banner;technology,2,2,supporting
10.10.41.209,sso.academy.htb,academy.htb,http_location;tls_san,1,2,high_value
10.10.42.157,dc01.lab.local,lab.local,http_location;technology;tls_san,3,2,high_value
10.10.44.245,issuer,issuer,banner,1,2,noise
10.10.49.26,server,server,banner,1,1,noise
10.10.57.95,nginx,nginx,banner;technology,2,2,noise
10.10.24.243,cipher,cipher,banner;technology,2,2,noise
10.10.38.193,portal.corp.internal,corp.internal,http_location,1,2,high_value
10.10.60.120,auth.academy.htb,academy.htb,http_location;tls_san,3,1,high_value
10.10.88.251,workgroup,workgroup,technology,2,1,noise
10.10.46.24,web02.academy.htb,academy.htb,banner;http_url;technology,1,2,supporting
10.10.20.41,sso.corp.internal,corp.internal,http_location,3,2,high_value
10.10.28.10,adfs.academy.htb,academy.htb,technology;tls_san,3,1,high_value
10.10.75.103,nginx,nginx,technology,2,2,noise
10.10.86.34,default,default,banner;technology,1,1,noise
10.10.32.224,docs.academy.htb,academy.htb,banner;http_url,3,1,supporting
10.10.20.14,dc01.dev.lab.local,lab.local,tls_san,2,1,high_value
10.10.74.68,issuer,issuer,technology,1,1,noise
10.10.74.209,issuer,issuer,banner;technology,1,1,noise
10.10.57.36,api.corp.internal,corp.internal,banner;technology,2,1,supporting
10.10.33.132,cipher,cipher,banner,2,2,noise
10.10.16.215,auth.corp.internal,corp.internal,http_location;technology,2,1,high_value
10.10.93.96,issuer,issuer,banner;technology,1,2,noise
10.10.36.143,default,default,banner;technology,2,1,noise
10.10.31.34,admin-gateway.dev.lab.local,lab.local,technology;tls_san,3,1,high_value
10.10.83.58,api.corp.internal,corp.internal,banner;http_url,3,2,supporting
10.10.24.182,adfs.corp.internal,corp.internal,tls_san,3,2,high_value
10.10.34.212,admin-gateway.lab.local,lab.local,http_location;technology,1,1,high_value
10.10.60.185,server,server,technology,2,2,noise
10.10.16.238,server,server,technology,1,2,noise
10.10.48.41,docs.lab.local,lab.local,http_url;technology,2,1,supporting
10.10.11.94,web02.dev.lab.local,lab.local,technology,3,2,supporting
10.10.53.38,login.lab.local,lab.local,http_location;technology;tls_san,1,2,high_value
10.10.51.201,web02.lab.local,lab.local,banner,3,1,supporting
10.10.39.217,auth.dev.lab.local,lab.local,technology,1,2,high_value
10.10.43.121,nginx,nginx,technology,1,2,noise
10.10.53.104,wiki.dev.lab.local,lab.local,banner;http_url;technology,1,2,supporting
10.10.83.228,sso.dev.lab.local,lab.local,http_location;technology;tls_san,2,1,high_value
10.10.64.51,default,default,technology,1,2,noise
10.10.57.26,portal.lab.local,lab.local,http_location;technology;tls_san,3,1,high_value
10.10.32.178,localhost,localhost,banner;technology,1,2,noise
