id,port,rtt_micros,spike_step,label
1,80,2105,4,NORMAL
2,443,1950,3,NORMAL
3,8080,2400,4,NORMAL
4,22,2010,3,NORMAL
5,21,1800,3,NORMAL
6,3389,45000,59,JITTER_NORMAL
7,8443,48000,61,JITTER_NORMAL
8,80,2200,4,NORMAL
9,443,1850,3,NORMAL
10,8022,250000,99,DELAYED_TARPIT
11,8023,245000,99,DELAYED_TARPIT
12,8024,260000,99,DELAYED_TARPIT
13,8025,300000,99,DELAYED_TARPIT
14,80,2150,4,NORMAL
15,9000,0,-1,FILTERED_DROP
16,9001,0,-1,FILTERED_DROP
17,9002,0,-1,FILTERED_DROP
18,9003,0,-1,FILTERED_DROP
19,443,1900,3,NORMAL
20,135,800,1,REJECTED_RST
21,139,750,1,REJECTED_RST
22,445,820,1,REJECTED_RST
23,1433,790,1,REJECTED_RST
24,80,2300,4,NORMAL
25,8022,255000,99,DELAYED_TARPIT
26,9000,0,-1,FILTERED_DROP
27,135,810,1,REJECTED_RST
28,22,1980,3,NORMAL
29,3389,46000,60,JITTER_NORMAL
30,8080,2350,4,NORMAL
