timestamp_us,asset_ip,target_port,protocol_flag,inter_packet_time_us,payload_size,rtt_us,label
13692,10.42.0.16,25,TIMEOUT,10280.36,0.00,3488475.35,filtered
1225,10.42.1.45,80,SYN_ACK,850.24,87.83,202609.87,normal
7351,10.42.0.16,110,SYN_ACK,2061.71,65.11,1166755.72,delayed
11667,10.42.0.16,5432,ICMP_UNREACHABLE,11695.52,0.00,118363.15,filtered
7757,10.42.0.16,993,ICMP_REPLY,3705.07,63.78,816433.72,delayed
8384,10.42.2.72,123,SYN_ACK,3613.82,65.25,1184170.15,delayed
3179,10.42.0.16,25,SYN_ACK,497.80,42.22,243758.24,normal
4688,10.42.1.45,443,SYN_ACK,989.52,70.97,385712.68,normal
13306,10.42.0.16,80,TIMEOUT,12904.92,0.00,3243183.56,filtered
9144,10.42.2.72,8080,SYN_ACK,4732.22,44.99,500000.00,delayed
8959,10.42.1.45,80,SYN_ACK,5771.15,41.19,1297185.90,delayed
8234,10.42.2.72,3306,SYN_ACK,3824.80,62.23,1649626.45,delayed
9378,10.42.1.45,993,ICMP_UNREACHABLE,7855.75,0.00,225631.35,filtered
1591,10.42.1.45,110,SYN_ACK,817.55,74.48,180749.63,normal
6508,10.42.1.45,3306,ICMP_REPLY,1844.16,53.16,1029232.54,delayed
13029,10.42.0.16,22,TIMEOUT,5937.34,0.00,2364954.29,filtered
1788,10.42.1.45,25,SYN_ACK,838.91,71.81,285446.79,normal
13867,10.42.2.72,993,ICMP_UNREACHABLE,7071.95,0.00,379275.50,filtered
7027,10.42.0.16,3389,ICMP_REPLY,4095.04,58.09,500000.00,delayed
5507,10.42.0.16,5432,UDP_RESPONSE,3809.29,56.94,1396377.38,delayed
3649,10.42.2.72,5432,SYN_ACK,746.16,54.75,214907.79,normal
5955,10.42.1.45,123,SYN_ACK,5274.14,57.82,1078409.28,delayed
3412,10.42.1.45,123,SYN_ACK,864.98,92.03,134456.60,normal
9804,10.42.2.72,5432,RST,6484.27,64.18,149457.68,filtered
527,10.42.0.16,3389,UDP_RESPONSE,720.47,59.49,234780.83,normal
11241,10.42.1.45,25,TIMEOUT,13936.15,0.00,2876905.89,filtered
2001,10.42.1.45,25,SYN_ACK,941.87,71.97,102474.02,normal
796,10.42.2.72,3306,SYN_ACK,912.32,69.49,309965.76,normal
5286,10.42.2.72,123,SYN_ACK,2329.38,58.10,896132.40,delayed
10651,10.42.0.16,3306,RST,12002.96,44.87,222921.28,filtered
2592,10.42.1.45,3306,SYN_ACK,1086.64,71.47,233547.24,normal
12218,10.42.1.45,8080,TIMEOUT,8125.55,0.00,3730010.19,filtered
12549,10.42.1.45,443,TIMEOUT,11002.56,0.00,2882337.02,filtered
10218,10.42.1.45,25,RST,7290.03,41.52,206458.48,filtered
4126,10.42.2.72,993,SYN_ACK,792.27,82.33,339504.09,normal
6161,10.42.0.16,3389,SYN_ACK,4351.17,52.30,633810.79,delayed
